acquia_search	3.0.x:12;3.1.x:8303;3.2.x:252;6.x-1.x:1
acquia_vwo	1.0.x:143
acquiadam_asset_import	2.0.x:11
acsf	7.x-1.x:785;8.x-2.x:10814
action_link	1.0.x:17
active_filters	1.0.x:523
active_tags	1.0.x:222;6.x-1.x:44;6.x-2.x:4;7.x-2.x:410
activecampaign	1.0.x:41;7.x-1.x:16
activecampaign_api	1.2.x:1
activenet	1.0.x:36
activetickets_client	1.0.x:4
activities	1.0.x:2088
activitypub	1.0.x:41
ad	10.x:3;11.0.x:29;4.0.x:90;5.x-1.x:6;6.x-1.x:5;6.x-2.x:168;6.x-3.x:2;7.x-2.x:5;7.x-3.x:55
ad_entity	8.x-1.x:120
ad_inserter	1.0.x:5
ada_accessible_helper_menu	7.x-1.x:1
adaptive_interact_client	1.1.x:40
adaptivetheme	6.x-1.x:7;6.x-2.x:36;6.x-3.x:9;7.0.x:10;7.1.x:950;7.x-1.x:45;7.x-2.x:461;7.x-3.x:8340;8.x-1.x:128;8.x-2.x:110;8.x-3.x:879;8.x-4.x:299;8.x-5.x:1002;8.x-6.x:4
adc_block	1.0.x:23
add_child_page	2.0.x:288;3.0.x:7;3.2.x:1;3.3.x:20;8.x-1.x:11
add_content_by_bundle	1.0.x:6;1.1.x:24;1.2.x:5168;2.0.x:5
add_to_calendar	1.0.x:94
add_to_head	6.x-1.x:380;7.x-1.x:1809;8.x-1.x:5131
addanother	5.x-1.x:3;6.x-1.x:39;7.x-2.x:2386;8.x-1.x:1778
addevent	1.0.x:6;2.0.x:9
address	2.0.x:78833;2.1.x:24;2.x:28;8.x-1.x:30789
address_autocomplete_photon	1.0.x:4;1.2.x:2;1.3.x:59
address_de	1.1.x:1;1.2.x:10
address_decoupled	1.0.x:71
address_display	8.x-1.x:1233
address_id	2.2.x:12;8.x-1.x:3
address_js_geocoder	2.0.x:13
address_map_link	2.0.x:1099;8.x-1.x:1423
address_md	1.0.x:32
address_static_map	1.0.x:2;1.1.x:73;2.0.x:25
address_suggestion	1.0.x:241
addtoany	2.0.x:25439;6.x-2.x:22;6.x-3.x:155;7.x-3.x:31;7.x-4.x:6117;8.x-1.x:5950
addtocal	3.0.x:3363;7.x-1.x:670;8.x-1.x:93;8.x-2.x:43
addtocal_augment	1.0.x:20;1.1.x:38;1.2.x:3432
addtocalendar	7.x-1.x:68;8.x-2.x:4;8.x-3.x:3189
adequate_passwords	1.0.x:25
admin_actions	2.0.x:4
admin_audit_trail	1.0.x:7226
admin_denied	2.0.x:71;8.x-1.x:2
admin_dialogs	1.0.x:483
admin_feedback	8.x-2.x:266
admin_list_filter	1.0.x:1
admin_local_tasks	1.1.x:44
admin_login_path	2.0.x:481;8.x-1.x:106
admin_menu_levels	1.0.x:8;1.1.x:42
admin_password_reset	1.0.x:21
admin_theme	6.x-1.x:202;7.x-1.x:3091;8.x-1.x:2529
admin_toolbar	3.0.x:4846;3.1.x:5533;3.2.x:3011;3.3.x:6133;3.4.x:28361;3.5.x:32009;3.6.x:185826;3.x:113;8.x-1.x:8765;8.x-2.x:17621
admin_toolbar_content	1.3.x:26;2.0.x:21;2.1.x:57;2.2.x:102
admin_toolbar_entity_version	1.0.x:36
admin_toolbar_mediteran	8.x-1.x:262
admin_toolbar_messages	1.0.x:196
admin_toolbar_tasks	1.0.x:112
admin_toolbar_tools_confirm	1.0.x:8
admin_tooltips	1.0.x:31
admin_ui_only	1.0.x:45
admin_user_language	8.x-1.x:1474
administerusersbyrole	6.x-1.x:35;7.x-1.x:922;7.x-2.x:4761;8.x-2.x:33;8.x-3.x:16566
administration_language_negotiation	2.0.x:1015;2.x:1;7.x-1.x:27;8.x-1.x:133
admintoolbar_bgcolor	1.0.x:9
adnuntius	8.x-1.x:25
adobe_analytics	8.x-1.x:10
adobe_launch	2.0.x:7;2.1.x:354;8.x-1.x:1
adopt_io	1.0.x:3
adroll	1.0.x:3;7.x-1.x:21
adsense	5.x-1.x:3;5.x-3.x:3;6.x-1.x:148;7.x-1.x:1233;8.x-1.x:1330
adsense_consent	1.0.x:4;7.x-1.x:5
adstxt	7.x-1.x:118;8.x-1.x:782
adv_varnish	4.0.x:1713;8.x-2.x:14;8.x-3.x:17
adva	8.x-1.x:299
advance_script_manager	1.0.x:45
advanced_403_redirect	1.0.x:5
advanced_content_blocks	1.0.x:1
advanced_country_field	1.1.x:2
advanced_datalayer	1.0.x:18;1.1.x:57;1.2.x:45;2.0.x:239;2.1.x:2247
advanced_email_validation	1.1.x:30;1.2.x:292;2.0.x:529
advanced_file_destination	1.0.x:3
advanced_header_field	2.1.x:43;3.0.x:4
advanced_help_block	1.0.x:157
advanced_image_media_attributes_formatter	1.0.x:20
advanced_language_negotiation	1.0.x:42
advanced_language_selector	1.2.x:15;1.3.x:44;1.4.x:55;1.5.x:811;1.x:7
advanced_mautic_integration	1.0.x:24
advanced_mega_menu	1.1.x:18
advanced_menu_condition	2.1.x:3;3.0.x:3;3.1.x:70
advanced_message_subscription	1.0.x:18
advanced_page_cache	2.0.x:34
advanced_sanitize	1.2.x:20
advanced_search	2.0.x:38;2.1.x:41;2.2.x:23;2.3.x:10;2.4.x:592
advanced_shortcodes	2.0.x:47;8.x-1.x:6
advanced_text_formatter	2.0.x:148;2.1.x:944;3.0.x:4579;7.x-1.x:1163;8.x-1.x:200
advanced_title_block	1.0.x:54
advanced_toast	1.0.x:32
advancedform	2.0.x:35;6.x-1.x:1;7.x-1.x:38
advancedqueue	7.x-1.x:210;8.x-1.x:5567
advancedqueue_mail	1.0.x:15
advancedqueue_runner	2.0.x:35
advban	8.x-1.x:5924
advent_calendar	1.0.x:7
advocate_zymphonies_theme	2.0.x:9;3.0.x:6;4.0.x:14
advupdate	8.x-1.x:294;8.x-2.x:23
aemet	8.x-1.x:3
aero_weather	1.0.x:2;1.1.x:3
affected_by_promotion	8.x-1.x:33
affiliated	1.0.x:16
aframe	7.x-1.x:1;8.x-1.x:3
afterburner	1.0.x:4
age_field_formatter	3.0.x:365;8.x-2.x:33
agg_jscss_asyncdefer	1.0.x:138
aggregator	1.0.x:32;1.1.x:45;2.0.x:4;2.1.x:17;2.2.x:8294;2.x:2
aggrid	8.x-1.x:11
agls	2.0.x:3;7.x-1.x:36;8.x-1.x:79
agreement	3.0.x:229;6.x-1.x:1;6.x-2.x:2;7.x-2.x:94;8.x-2.x:57
agui	1.0.x:16
ai	1.0.x:433;1.1.x:1740;1.2.x:2516;1.3.x:5338;1.4.x:5179
ai_404_redirect	1.0.x:3
ai_accessibility	1.0.x:2
ai_agents	1.0.x:250;1.1.x:703;1.2.x:4279;1.3.x:3266
ai_agents_debugger	1.0.x:26
ai_agents_test	1.0.x:232
ai_audio_field	1.0.x:3
ai_auto_reference	1.0.x:21
ai_automator_extractor	1.0.x:10
ai_automator_google_vision	1.0.x:2
ai_automator_pixabay	1.0.x:1
ai_block	1.0.x:4
ai_chat	1.0.x:11
ai_chatbot_plus	1.0.x:2
ai_checklist	1.0.x:101
ai_ckeditor_extras	1.0.x:14
ai_ckeditor_wcag	1.0.x:2
ai_comment_moderation	1.0.x:8
ai_content_advisor	1.0.x:11
ai_content_chat	2.0.x:2
ai_content_lifecycle	1.0.x:7
ai_content_migrate	1.0.x:1
ai_content_strategy	1.0.x:4;1.1.x:4;1.2.x:120
ai_content_suggestions	1.3.x:27;1.4.x:31
ai_context	0.1.x:6;1.0.x:148
ai_dashboard	1.0.x:3926
ai_document_ocr	1.0.x:3
ai_dropsolid	1.0.x:3
ai_drush_agents	1.0.x:7
ai_editoria11y	1.0.x:5
ai_featured_image	1.0.x:1
ai_generation	0.0.x:6;1.2.x:5
ai_image_alt_text	1.0.x:8686
ai_integration_eca	1.0.x:340
ai_lead_chatbot	1.0.x:1
ai_llms_txt_generator	1.0.x:7
ai_media_image	1.0.x:185
ai_migrate	1.0.x:6
ai_provider_acquia	1.0.x:24
ai_provider_alibabacloud	1.0.x:113
ai_provider_aliyun_bailian	1.0.x:6
ai_provider_amazeeio	1.0.x:72;1.1.x:87;1.2.x:1431;1.3.x:2853
ai_provider_anthropic	1.0.x:241;1.1.x:600;1.2.x:5811;1.3.x:6
ai_provider_anythingllm	1.0.x:10
ai_provider_apertus	1.0.x:2
ai_provider_aws_bedrock	1.0.x:15;1.1.x:193
ai_provider_azure	1.0.x:5;1.1.x:1413
ai_provider_browser	1.0.x:13
ai_provider_deepl	1.0.x:128
ai_provider_deepseek	1.0.x:94;1.1.x:39
ai_provider_dropsolidai	1.0.x:5
ai_provider_dxpr	1.0.x:15
ai_provider_google_vertex	1.1.x:89
ai_provider_groq	1.0.x:5;1.1.x:11;1.2.x:137
ai_provider_huggingface	1.0.x:82
ai_provider_infomaniak	1.0.x:1
ai_provider_lmstudio	1.0.x:4;1.1.x:26
ai_provider_mistral	1.0.x:30;1.1.x:97
ai_provider_mittwald	1.1.x:1
ai_provider_nanobanana	1.0.x:14
ai_provider_ollama	1.0.x:8;1.1.x:86;1.2.x:264
ai_provider_openai	1.0.x:454;1.1.x:920;1.2.x:8963;1.3.x:1
ai_provider_openai_compatible	1.2.x:16
ai_provider_openrouter	1.0.x:2;1.1.x:71
ai_provider_perplexity	1.0.x:44
ai_provider_vllm	1.0.x:11
ai_provider_x	1.0.x:26
ai_provider_xai	1.0.x:2
ai_provider_yandex	1.0.x:9
ai_readme_generator	1.0.x:1
ai_related_content	1.0.x:9;2.0.x:3
ai_revision_log	1.1.x:7
ai_search	1.3.x:113;2.0.x:12
ai_search_block	1.0.x:77;2.0.x:1
ai_seo	1.0.x:319;1.1.x:592
ai_seo_link_advisor	1.1.x:3
ai_simple_pdf_to_text	1.0.x:44
ai_simple_provider_installer	1.0.x:118
ai_single_page_importer	1.0.x:5
ai_social_posts	1.0.x:109
ai_summarize_document	1.0.x:4;1.1.x:109
ai_talk_with_node	1.0.x:1
ai_tmgmt	1.0.x:256
ai_tool_get_ip_address	1.0.x:3
ai_tool_get_sitemap	1.0.x:3
ai_translate	1.3.x:462
ai_translate_lb_asymmetric	1.0.x:4
ai_translate_paragraph_asymetric	1.0.x:8;1.2.x:66
ai_translate_plus	1.0.x:8
ai_translate_textfield	1.0.x:3;2.0.x:50
ai_upgrade_assistant	0.3.x:1
ai_usage_limits	1.0.x:34
ai_validations	1.0.x:2
ai_vdb_provider_azure_ai_search	1.0.x:2;1.1.x:14
ai_vdb_provider_milvus	1.0.x:18;1.1.x:664
ai_vdb_provider_opensearch	1.0.x:1;1.1.x:7
ai_vdb_provider_pinecone	1.0.x:7;1.1.x:348
ai_vdb_provider_postgres	1.0.x:178
ai_vdb_provider_sqlite	1.0.x:35;1.1.x:1
ai_webform_guard	1.0.x:1;1.1.x:13
ai_webform_sentiment	1.0.x:3
aidmi	1.0.x:1
aitxt	1.0.x:45
ajax_big_pipe	1.0.x:193
ajax_cart_update	1.0.x:28
ajax_command_page_reload	1.0.x:130;2.0.x:67
ajax_comments	6.x-1.x:48;7.x-1.x:1496;8.x-1.x:2709
ajax_debug	2.0.x:20
ajax_dependency	2.0.x:20;8.x-1.x:2
ajax_link	1.0.x:63
ajax_loader	2.0.x:187;2.1.x:5568;2.x:5;7.x-1.x:105;8.x-1.x:540
ajax_login_register_modal	1.0.x:2
ajax_placeholder	1.0.x:25
ajax_requirement	2.0.x:43
ajax_wrapper	2.0.x:45
akamai	4.0.x:10;4.1.x:35;5.0.x:558;5.1.x:2452;7.x-2.x:10;8.x-3.x:10
ala	8.x-1.x:62;8.x-2.x:521
alert_message	1.0.x:94;1.1.x:54
alert_telegram	1.5.x:7
alerts	1.1.x:36;7.x-1.x:2
alerts_format	1.0.x:6
algolia_search_interface	1.1.x:17
alias_manager	1.0.x:17
alice	1.0.x:7
all	1.0.x:4
all_entity_preview	1.0.x:310
all_in_one_accessibility	1.5.x:1596
allow_iframed_site	3.0.x:1276;8.x-1.x:28;8.x-2.x:54
allow_only_one	1.0.x:155
allowed_formats	2.0.x:3853;3.0.x:39264;8.x-1.x:5667
allowed_languages	2.0.x:517;8.x-1.x:7
alogin	1.0.x:2;2.0.x:2;2.1.x:180;7.x-1.x:4
alpine_js	3.0.x:105
alr	2.0.x:30
alt_login	2.0.x:21;6.x-1.x:16;7.x-1.x:46;8.x-1.x:1
alt_text_import_csv	1.0.x:9
alt_text_validation	1.0.x:225
altcha	1.0.x:58;1.1.x:1020
alter_entity_autocomplete	8.x-1.x:27
alter_route_title	1.0.x:4
alternative_user_emails	1.0.x:15
alttexting	1.0.x:6
amazon_image_id_scan	1.1.x:1
amazon_pa	2.1.x:28;3.0.x:5;7.x-1.x:19;8.x-1.x:4
amazon_paapi	1.1.x:21
amazon_product_widget	1.5.x:15;1.6.x:8
amazon_ses	2.0.x:3;2.1.x:64;3.0.x:106;3.1.x:592;6.x-1.x:3;7.x-1.x:52
amazon_sns	8.x-1.x:192
amplitude	8.x-1.x:6
amplitudejs	1.0.x:23
amswap	3.0.x:53;3.1.x:107;3.2.x:611;3.3.x:736;8.x-1.x:4;8.x-2.x:80
amun	1.0.x:21;2.0.x:148
amunet	1.0.x:4;2.0.x:27
analog_digital_clock	10.1.x:30;8.x-1.x:1;8.x-2.x:6;9.1.x:4
analytics	7.x-1.x:55;8.x-1.x:173
analyze_ai_brand_voice	1.0.x:2;1.1.x:7;1.2.x:101
analyze_ai_content_marketing_audit	1.1.x:7;1.2.x:103
analyze_ai_content_security_audit	1.1.x:7;1.2.x:101
analyze_ai_sentiment	1.0.x:2
analyze_ai_sentiments	1.1.x:9;1.2.x:105
anchor_link	3.0.x:23686;8.x-1.x:2486;8.x-2.x:5497
anhur	1.0.x:12;2.0.x:20
animate_css	2.0.x:190;2.1.x:1350;7.x-1.x:1474;8.x-1.x:71
animate_fields_aos	1.1.x:27;2.0.x:16
animatecss	1.0.x:46;1.1.x:484
animatecss_aos	1.0.x:86
animatecss_block	1.0.x:27
animated_gif	2.0.x:388;2.1.x:3830;8.x-1.x:187
animated_scroll_to	2.0.x:216;8.x-1.x:60
anime	1.0.x:83
announcementbar	1.0.x:1
announcements	2.0.x:24;5.x-1.x:1;6.x-1.x:16;7.x-1.x:22
annoying_popup	1.0.x:6;2.0.x:1;2.1.x:1;2.2.x:4;2.3.x:14
anonymous_author	1.3.x:12
anonymous_login	7.x-1.x:265;8.x-1.x:131;8.x-2.x:3877
anonymous_redirect	7.x-1.x:14;8.x-2.x:804
anonymous_redirection	1.0.x:5
anonymous_token	2.0.x:31;3.0.x:460;7.x-1.x:15
anonymoussession	1.0.x:55
another_entity_iterator	1.0.x:21
ant_bulk	2.0.x:43
anti_duplicates	4.1.x:5;4.2.x:54
antibot	2.0.x:50661;3.0.x:14;7.x-1.x:6037;8.x-1.x:4116
anu_lms	2.10.x:17;2.11.x:95;2.9.x:13
anu_lms_olivero	1.0.x:3
aos	1.0.x:667
aosjs	1.0.x:360
apcu_diagnostics	1.0.x:93
api	2.0.x:5;2.x:3;7.x-2.x:5
api_connection	1.0.x:53
api_insight_lab	1.0.x:1
api_token_entity	1.0.x:1
api_toolkit	1.0.x:1;1.2.x:5;1.3.x:1;1.5.x:7
apidae_tourisme	3.0.x:7;4.0.x:1
apigee_api_catalog	3.0.x:419;8.x-1.x:5;8.x-2.x:137
apigee_edge	2.0.x:119;2.1.x:32;3.0.x:504;4.0.x:144;8.x-1.x:50
apigee_m10n	2.0.x:11;2.1.x:112;8.x-1.x:3
apisync	1.0.x:6
apitemplate_io	1.0.x:18
apple_pay_verification	1.0.x:10;1.1.x:36
apstyle_augmenter	1.0.x:71
archivesspace	2.0.x:1;2.1.x:7;2.x:3
area_print	2.0.x:76;7.x-1.x:60;8.x-1.x:176
article_grid_view_block	1.0.x:6
artisan	1.0.x:3;1.1.x:2;1.3.x:48;2.0.x:118
artisan_styleguide	1.0.x:16
asm	1.0.x:1
aspect_ratio	1.0.x:7
aspiration	1.1.x:200
asset_cache_bust	1.0.x:46
asset_injector	8.x-1.x:41;8.x-2.x:42009
asset_purge_manager	1.0.x:4
assets_for_text	1.0.x:1
assignments	4.1.x:5
assignments_hootsuite	4.3.x:6
association	1.0.x:1;2.0.x:4
astrology	2.1.x:4;7.x-1.x:1;8.x-1.x:1
asymmetric_menu_trees	2.0.x:136;8.x-1.x:3
asyntai	1.0.x:5
at_ls	1.0.x:1
at_tool	1.4.x:358;2.0.x:774;3.0.x:7;3.1.x:978
atd	3.0.x:5
atom	2.0.x:37;2.1.x:23;6.x-1.x:5;7.x-1.x:15
atoms	1.1.x:2
attachinbody	8.x-1.x:2
attachinline	8.x-1.x:167
attribution	1.0.x:550;7.x-1.x:1
audio_embed_field	10.0.x:7;11.0.x:14;11.1.x:71;8.x-1.x:14;8.x-2.x:51
audio_player	1.1.x:105
audio_wavesurfer	1.0.x:1;1.1.x:8
audiorecorder	1.0.x:107
audit	1.0.x:14
audit_export	1.0.x:67;7.x-1.x:1
auditfiles	4.0.x:22;4.1.x:66;4.2.x:3842;6.x-3.x:12;7.x-3.x:292;8.x-2.x:327;8.x-3.x:223
augmentor	1.0.x:3;1.1.x:9;1.2.x:85
augmentor_chatgpt	1.0.x:58
augmentor_google_cloud_speech_to_text	1.0.x:6
augmentor_google_cloud_text_to_speech	1.0.x:8
augmentor_google_cloud_vision	1.0.x:5
augmentor_nlpcloud	1.0.x:6
augmentor_openai_gpt3	1.0.x:19
auphonic	1.0.x:2
auth_encrypt	1.0.x:5
auth0	3.0.x:2;4.0.x:356;5.0.x:15;8.x-2.x:27
authenticate_by_mail	1.1.x:5
authenticated_frontpage	1.0.x:16;1.1.x:266
authnet_cim_manager	1.0.x:2
author_bulk_assignment	1.0.x:31;2.0.x:111
authorization	8.x-1.x:7354
authorization_group	2.0.x:9;8.x-1.x:17
auto_alter	2.0.x:209;8.x-1.x:37
auto_anchors	2.1.x:32;3.0.x:124;8.x-1.x:10
auto_block_translate	1.0.x:12;2.0.x:28
auto_config_form	1.0.x:1;1.1.x:3
auto_entity_form_mode	1.0.x:40
auto_entitylabel	7.x-1.x:7644;8.x-1.x:6;8.x-2.x:511;8.x-3.x:38621
auto_entityqueue	3.0.x:1477;7.x-1.x:87;8.x-1.x:52;8.x-2.x:926
auto_heading_ids	2.0.x:45
auto_increment_alter	1.0.x:41
auto_libraries_version	1.0.x:11
auto_login_url	2.0.x:239;2.x:3;3.1.x:63;7.x-1.x:390;8.x-1.x:189
auto_node_translate	2.1.x:225;3.0.x:270
auto_node_translate_amazon	1.0.x:71
auto_node_translate_deepl	1.0.x:84
auto_node_translate_google	3.0.x:23
auto_node_translate_libre	1.0.x:55
auto_retina	2.0.x:18;7.x-1.x:41;8.x-1.x:8
auto_rotate_lite	1.0.x:21
auto_term_translate	1.0.x:36;2.0.x:85
auto_translation	1.0.x:14;1.2.x:23;1.3.x:4;1.4.x:583;1.5.x:56
auto_unban	1.0.x:609
auto_username	2.0.x:251;6.x-1.x:2;7.x-1.x:265;8.x-1.x:362
autoalt	2.0.x:7
autoban	7.x-1.x:966;8.x-1.x:4001
autocomplete_deluxe	2.0.x:1886;2.1.x:5933;7.x-1.x:5;7.x-2.x:3197;8.x-1.x:212
autocomplete_field_match	8.x-1.x:13
autocomplete_flexible	1.1.x:3
autocomplete_id	8.x-1.x:879
autocomplete_list	2.0.x:14;8.x-1.x:10
autocomplete_mixed_matching	1.1.x:164
autocreate_access	1.0.x:4
autofill	8.x-1.x:770
autogrid	1.1.x:3
autogrow_textarea	2.0.x:8
autologout	2.0.x:27247;2.x:2;5.x-2.x:2;6.x-1.x:3;6.x-2.x:77;6.x-3.x:3;6.x-4.x:50;7.x-2.x:48;7.x-4.x:4973;8.x-1.x:9546
autologout_alterable	1.1.x:41;1.3.x:13;1.4.x:415
automated_crop	2.0.x:6;3.0.x:136;4.0.x:1187;8.x-1.x:9
automated_testing_kit	1.3.x:43;2.0.x:25;2.1.x:1;3.0.x:1
automatic_updates	3.0.x:9;3.1.x:869;4.0.x:1452;4.1.x:5215;4.x:1;7.x-1.x:165;8.x-1.x:16;8.x-2.x:45
autosave_form	8.x-1.x:14815
autoservices	1.0.x:176
autoshortqr	4.0.x:1;4.1.x:8
autotagger	1.0.x:49
autowire_plugin_trait	1.0.x:437
ava	1.0.x:2
avif	1.0.x:16;1.1.x:201
awareness	2.0.x:19
aweber_block	3.0.x:6;9.1.x:37
awesome_zymphonies_theme	2.0.x:79;3.0.x:32;4.0.x:36;8.x-1.x:110
aws	2.0.x:1014
aws_bedrock_chat	2.0.x:14
aws_cloudwatchlogs	8.x-1.x:190
axeptio	1.0.x:8;2.0.x:4;2.1.x:164
az_blob_fs	3.0.x:139;8.x-1.x:16;8.x-2.x:245
azredirect	1.0.x:4
azure_ad	8.x-1.x:7
azure_ai_services	1.0.x:1
azure_cdn_purge	1.0.x:56
azure_key_vault	1.0.x:32
azure_mailer	1.0.x:4;2.0.x:433
azure_oauth_sso	1.0.x:161
azure_storage	2.0.x:40
b24	2.0.x:23;8.x-1.x:11
back_2_top	3.0.x:1;8.x-2.x:1
back_to_top	2.0.x:946;3.0.x:10263;7.x-1.x:8572;8.x-1.x:2933
back_to_top_with_pi	1.0.x:58
backfill_formatter	2.0.x:21
background_block	2.0.x:25;2.1.x:10;8.x-1.x:4
background_image_formatter	2.0.x:2329;7.x-1.x:416;8.x-1.x:636
background_wallpaper	1.0.x:2
backlinks	1.0.x:4
backlinks_index	1.0.x:3;1.1.x:69
backstop_generator	2.0.x:49
backup_migrate	5.0.x:14637;5.1.x:37939;5.x-1.x:20;6.x-1.x:281;6.x-2.x:1660;6.x-3.x:9;7.x-2.x:9320;7.x-3.x:44835;8.x-4.x:6840
backup_migrate_aws_s3	1.0.x:19;5.0.x:194;6.0.x:165
backward_compatibility	1.0.x:176
baguettebox	2.0.x:69;3.0.x:97;7.x-1.x:45;8.x-1.x:49
bamboo_twig	6.0.x:3037;8.x-3.x:15;8.x-4.x:200;8.x-5.x:390
ban	1.0.x:1098;1.1.x:154
bank_zymphonies_theme	2.0.x:8;3.0.x:23;4.0.x:15;8.x-1.x:208
bankid	1.0.x:8
barbajs	1.0.x:2
barcodes	2.0.x:159;2.1.x:769;7.x-1.x:21;8.x-1.x:19
bartik	1.0.x:10756;1.1.x:16348;7.x-1.x:12
base_field_display	1.0.x:27
base_field_override_ui	8.x-1.x:1956
base_zymphonies_theme	2.0.x:50;3.0.x:19;4.0.x:18;8.x-1.x:105
basecore	1.0.x:686
basic	3.0.x:552;3.x:1;6.x-2.x:66;7.x-2.x:134;7.x-3.x:77;7.x-4.x:297;8.x-1.x:74;8.x-2.x:381
basic_ads	1.3.x:1
basic_cart	7.x-2.x:61;7.x-3.x:382;8.x-5.x:1;8.x-6.x:130;8.x-7.x:38;8.x-8.x:161
basic_layouts	1.0.x:30
basicshib	2.0.x:74;2.1.x:634;3.0.x:248;8.x-1.x:1
basket	2.0.x:103;2.1.x:407
basket_imex	10.0.x:93;10.2.x:221
basket_novaposhta	1.0.x:127;1.1.x:266
basket_paypal	1.0.x:7;1.1.x:17
bat	11.0.x:58;11.1.x:51;7.x-1.x:53;8.x-1.x:121;8.x-10.x:89;8.x-2.x:9;8.x-3.x:3
bat_api	11.1.x:43;3.1.x:109;7.x-1.x:122;7.x-2.x:62;8.x-1.x:132
batch	1.0.x:6;2.0.x:6
batch_content_sync	2.0.x:29
batch_messenger	1.0.x:3
batch_plugin	1.0.x:7;2.0.x:9
batch_service_interface	2.0.x:9
bbf	2.1.x:1;8.x-1.x:4
bca	1.0.x:2;1.1.x:242
bcc	4.0.x:149;6.x-1.x:1;7.x-1.x:30;7.x-2.x:99;8.x-3.x:13
bcvb	1.0.x:2
be_ixf_drupal	8.x-5.x:133
beauty_salon_zymphonies_theme	2.0.x:10;3.0.x:4;4.0.x:17;8.x-1.x:3
bee	11.0.x:14;11.1.x:32;8.x-1.x:100;8.x-3.x:53
bee_hotel	2.21.x:5;2.24.x:2;2.25.x:12;2.26.x:3
